,indel_size,number_of_indels_by_size
0,1,131156
1,2,10058
2,3,4252
3,4,3237
4,5,2435
5,6,1840
6,7,1193
7,8,841
8,9,942
9,10,686
10,11,467
11,12,413
12,13,308
13,14,324
14,15,225
15,16,191
16,17,160
17,18,146
18,19,103
19,20,119
20,21,52
21,22,38
22,23,39
23,24,16
24,25,32
25,26,33
26,27,11
27,28,9
28,29,15
29,30,6
30,31,8
31,32,6
32,33,3
33,34,2
34,35,1
35,36,3
36,37,3
37,38,1
38,39,1
39,40,1
40,41,1
41,45,4
42,47,3
43,48,2
44,50,2
45,51,1
46,52,2
47,54,1
48,56,1
49,-2,12808
50,-54,1
51,-48,1
52,-47,1
53,-46,1
54,-45,2
55,-44,1
56,-41,1
57,-40,2
58,-39,1
59,-38,1
60,-37,4
61,-36,5
62,-35,1
63,-34,2
64,-33,3
65,-32,3
66,-31,1
67,-30,2
68,-29,2
69,-28,4
70,-27,5
71,-26,1
72,-25,3
73,-24,1
74,-23,2
75,-22,9
76,-21,13
77,-20,4
78,-19,3
79,-18,4
80,-17,2
81,-16,5
82,-15,10
83,-14,4
84,-13,5
85,-12,17
86,-11,4
87,-10,7
88,-9,14
89,-8,6
90,-7,20
91,-6,44
92,-5,74
93,-4,270
94,-3,1494
95,-1,32764
